title,price,km,year,fuel_type,link,source,scraped_at,model
2022 Mercedes-Benz GLA 220d [2021-2023],195.0,21321,2022,Unknown,https://www.carwale.com/used/chennai/bmw-7-series/0jouneop/,CarWale,2026-04-18 21:25:27.818566,Mercedes-Benz
2018 Mercedes-Benz E-Class E 220 d Avantgarde,13.0,67000,2018,Unknown,https://www.carwale.com/used/chennai/jeep-compass/0cdphwob/,CarWale,2026-04-18 21:25:27.818566,Mercedes-Benz
2011 Skoda Fabia Ambition 1.2 TDI,11.5,65000,2011,Unknown,https://www.carwale.com/used/chennai/toyota-innova-hycross/k68frwrv/,CarWale,2026-04-18 21:25:27.818566,Skoda
2019 Jeep Compass Limited (O) 1.4 Petrol AT [2017-2020],3.5,104000,2019,Unknown,https://www.carwale.com/used/chennai/mahindra-thar/gk3frdc6/,CarWale,2026-04-18 21:25:27.818566,Compass
2014 Mercedes-Benz GL-Class 350 CDI,18.0,26000,2014,Unknown,https://www.carwale.com/used/chennai/mahindra-thar/gk3frdc6/,CarWale,2026-04-18 21:25:27.818566,Mercedes-Benz
2013 Hyundai Santa Fe 4 WD (AT),31.0,110000,2013,Unknown,https://www.carwale.com/used/chennai/maruti-suzuki-swift/3442o1kd/,CarWale,2026-04-18 21:25:27.818566,Hyundai
2023 Land Rover Range Rover SV LWB 3.0 Diesel,9.5,105000,2023,Unknown,https://www.carwale.com/used/chennai/hyundai-creta/q92dyu00/,CarWale,2026-04-18 21:25:27.818566,Land
2018 Honda Amaze 1.2 S CVT Petrol [2018-2020],350.0,28000,2018,Unknown,https://www.carwale.com/used/chennai/hyundai-creta/q92dyu00/,CarWale,2026-04-18 21:25:27.818566,Amaze
2018 Jeep Compass Limited (O) 2.0 Diesel [2017-2020],49.0,47000,2018,Unknown,https://www.carwale.com/used/chennai/skoda-fabia/e1fjhgu5/,CarWale,2026-04-18 21:25:27.818566,Compass
2017 Jeep Compass Longitude (O) 2.0 Diesel [2017-2020],13.5,59000,2017,Unknown,https://www.carwale.com/used/chennai/jeep-compass/0cdphwob/,CarWale,2026-04-18 21:25:27.818566,Compass
2017 BMW 7-Series 730Ld DPE Signature,6.75,52000,2017,Unknown,https://www.carwale.com/used/chennai/skoda-fabia/e1fjhgu5/,CarWale,2026-04-18 21:25:27.818566,BMW
2024 Tata Tiago XT [2023-2025],37.0,55000,2024,Unknown,https://www.carwale.com/used/chennai/mercedes-benz-gl-class/mu6gqohi/,CarWale,2026-04-18 21:25:27.818566,Tiago
2019 Renault Kwid CLIMBER 1.0 AMT,9.05,31779,2019,Unknown,https://www.carwale.com/used/chennai/land-rover-range-rover/d8ucze9x/,CarWale,2026-04-18 21:25:27.818566,Kwid
2018 Mini Countryman Cooper D,4.35,43954,2018,Unknown,https://www.carwale.com/used/chennai/bmw-7-series/0jouneop/,CarWale,2026-04-18 21:25:27.818566,Mini
2020 Tata Tiago Revotron XZA Plus,4.9,15398,2020,Unknown,https://www.carwale.com/used/chennai/mercedes-benz-gl-class/mu6gqohi/,CarWale,2026-04-18 21:25:27.818566,Tiago
2022 Tata Punch Adventure MT [2021-2023],3.35,43137,2022,Unknown,https://www.carwale.com/used/chennai/honda-amaze/25y420td/,CarWale,2026-04-18 21:25:27.818566,Punch
2024 Renault Kwid RXT 1.0,5.6,22486,2024,Unknown,https://www.carwale.com/used/chennai/honda-amaze/25y420td/,CarWale,2026-04-18 21:25:27.818566,Kwid
2023 Tata Nexon XZ Plus (S),6.22,48542,2023,Unknown,https://www.carwale.com/used/chennai/land-rover-range-rover/d8ucze9x/,CarWale,2026-04-18 21:25:27.818566,Nexon
2020 Tata Nexon XZ,6.08,51846,2020,Unknown,https://www.carwale.com/used/chennai/hyundai-santa-fe/7hha1kqq/,CarWale,2026-04-18 21:25:27.818566,Nexon
2022 Tata Punch Creative Dual Tone [2022-2023],4.68,38392,2022,Unknown,https://www.carwale.com/used/chennai/hyundai-santa-fe/7hha1kqq/,CarWale,2026-04-18 21:25:27.818566,Punch
2018 Hyundai Creta SX Plus 1.6 AT Petrol,4.53,78759,2018,Unknown,https://www.carwale.com/used/chennai/toyota-innova-hycross/k68frwrv/,CarWale,2026-04-18 21:25:27.817566,Creta
2017 Maruti Suzuki Swift VXi ABS,11.5,38456,2017,Unknown,https://www.carwale.com/used/chennai/bmw-ix/0324h7uw/,CarWale,2026-04-18 21:25:27.817566,Swift
2021 Mahindra Thar LX Hard Top Petrol AT 4WD,30.0,52723,2021,Unknown,https://www.carwale.com/used/chennai/bmw-ix/0324h7uw/,CarWale,2026-04-18 21:25:27.817566,Thar
2023 BMW iX xDrive 40,64.0,44322,2023,Unknown,https://www.carwale.com/used/chennai/bmw-xm/qzudydg7/,CarWale,2026-04-18 21:25:27.817566,BMW
